ms,s,p,v,dv0,dv1,dv2,dv3,sum
595.0,0.595,-4.27,0.0,0.62,0.32,0.38,0.29,1.6099999999999999
695.0,0.695,-4.27,0.0,0.55,0.28,0.28,0.24,1.35
794.0,0.794,-2.17,0.0,0.64,0.33,0.42,0.3,1.69
894.0,0.894,0.87,4.18,0.54,0.22,0.25,0.19,1.2
995.0,0.995,0.3,2.47,0.57,0.24,0.37,0.18,1.3599999999999999
1095.0,1.095,-3.86,0.0,0.56,0.28,0.33,0.26,1.4300000000000002
1195.0,1.195,1.15,4.81,0.6,0.23,0.34,0.18,1.3499999999999999
1295.0,1.295,-3.01,0.0,0.54,0.31,0.37,0.25,1.4700000000000002
1394.0,1.394,0.3,2.46,0.6,0.26,0.38,0.23,1.47
1495.0,1.495,1.04,4.57,0.57,0.24,0.36,0.16,1.3299999999999998
1595.0,1.595,-4.27,0.0,0.58,0.26,0.38,0.28,1.5
1694.0,1.694,2.19,6.63,0.6,0.29,0.37,0.26,1.5199999999999998
1795.0,1.795,-4.27,0.0,0.56,0.25,0.23,0.17,1.21
1894.0,1.894,0.18,1.92,0.58,0.28,0.41,0.27,1.54
1998.0,1.998,0.7,3.74,0.54,0.27,0.3,0.15,1.26
2099.0,2.099,0.48,3.1,0.61,0.24,0.35,0.16,1.3599999999999999
2197.0,2.197,-3.23,0.0,0.47,0.3,0.39,0.3,1.4600000000000002
2295.0,2.295,-1.96,0.0,0.59,0.28,0.31,0.15,1.3299999999999998
2394.0,2.394,-2.38,0.0,0.6,0.27,0.4,0.35,1.62
2492.0,2.492,0.53,3.26,0.59,0.29,0.31,0.2,1.39
2591.0,2.591,-4.27,0.0,0.6,0.32,0.36,0.29,1.5699999999999998
2690.0,2.69,0.02,0.65,0.57,0.26,0.32,0.19,1.3399999999999999
2789.0,2.789,-3.23,0.0,0.51,0.32,0.4,0.27,1.5
2887.0,2.887,-0.9,0.0,0.53,0.28,0.37,0.25,1.4300000000000002
2987.0,2.987,-3.23,0.0,0.63,0.21,0.28,0.16,1.28
3085.0,3.085,-0.27,0.0,0.54,0.21,0.33,0.27,1.35
3183.0,3.183,-3.23,0.0,0.53,0.25,0.26,0.16,1.2
3281.0,3.281,-0.08,0.0,0.56,0.22,0.38,0.23,1.3900000000000001
3380.0,3.38,0.02,0.65,0.53,0.23,0.35,0.14,1.25
3476.0,3.476,-2.8,0.0,0.5,0.27,0.34,0.26,1.37
3574.0,3.574,0.18,1.92,0.54,0.21,0.31,0.14,1.2000000000000002
3674.0,3.674,0.93,4.33,0.49,0.28,0.39,0.25,1.4100000000000001
3773.0,3.773,0.82,4.05,0.59,0.27,0.41,0.25,1.52
3872.0,3.872,0.7,3.74,0.56,0.21,0.32,0.12,1.21
3972.0,3.972,-3.44,0.0,0.46,0.24,0.29,0.26,1.25
4070.0,4.07,1.44,5.38,0.57,0.22,0.3,0.12,1.21
4169.0,4.169,-2.6,0.0,0.56,0.23,0.33,0.21,1.33
4268.0,4.268,1.27,5.06,0.53,0.25,0.26,0.13,1.17
4367.0,4.367,-4.27,0.0,0.61,0.22,0.27,0.16,1.26
4465.0,4.465,0.64,3.59,0.6,0.26,0.33,0.22,1.41
4566.0,4.566,-0.08,0.0,0.54,0.22,0.23,0.19,1.18
4664.0,4.664,-0.27,0.0,0.58,0.22,0.41,0.26,1.47
4762.0,4.762,0.53,3.26,0.58,0.23,0.28,0.12,1.21
4864.0,4.864,-1.33,0.0,0.58,0.23,0.32,0.18,1.3099999999999998
4962.0,4.962,0.93,4.33,0.54,0.23,0.31,0.21,1.29
5061.0,5.061,-2.38,0.0,0.56,0.24,0.21,0.08,1.09
5160.0,5.16,-0.27,0.0,0.61,0.21,0.26,0.22,1.3
5259.0,5.259,1.39,5.28,0.55,0.21,0.24,0.14,1.1400000000000001
5358.0,5.358,-1.12,0.0,0.53,0.22,0.28,0.24,1.27
5456.0,5.456,1.73,5.9,0.58,0.18,0.29,0.15,1.2
5556.0,5.556,-0.48,0.0,0.49,0.21,0.35,0.18,1.2299999999999998
5654.0,5.654,1.44,5.38,0.49,0.2,0.26,0.13,1.08
5753.0,5.753,-3.23,0.0,0.6,0.2,0.29,0.14,1.23
5852.0,5.852,0.42,2.91,0.59,0.21,0.33,0.21,1.3399999999999999
5951.0,5.951,-2.6,0.0,0.5,0.2,0.21,0.17,1.0799999999999998
6049.0,6.049,0.59,3.44,0.52,0.21,0.33,0.2,1.26
6149.0,6.149,0.7,3.74,0.57,0.16,0.25,0.11,1.09
6250.0,6.25,-4.27,0.0,0.53,0.21,0.29,0.22,1.25
6348.0,6.348,0.64,3.59,0.55,0.18,0.33,0.13,1.19
6447.0,6.447,-0.69,0.0,0.49,0.26,0.38,0.22,1.3499999999999999
6545.0,6.545,0.53,3.27,0.56,0.26,0.42,0.24,1.48
6643.0,6.643,0.53,3.27,0.55,0.22,0.28,0.08,1.1300000000000001
6742.0,6.742,-3.02,0.0,0.54,0.24,0.32,0.24,1.34
6840.0,6.84,1.16,4.82,0.58,0.23,0.33,0.14,1.2799999999999998
6938.0,6.938,-3.65,0.0,0.54,0.2,0.25,0.17,1.16
7036.0,7.036,0.18,1.92,0.56,0.23,0.34,0.28,1.4100000000000001
7135.0,7.135,0.76,3.9,0.6,0.2,0.21,0.09,1.1
7233.0,7.233,-3.87,0.0,0.58,0.24,0.31,0.16,1.2899999999999998
7331.0,7.331,0.88,4.19,0.56,0.18,0.37,0.13,1.2399999999999998
7431.0,7.431,-0.9,0.0,0.53,0.2,0.24,0.12,1.0899999999999999
7529.0,7.529,0.3,2.46,0.53,0.24,0.41,0.25,1.43
7630.0,7.63,1.45,5.4,0.53,0.21,0.28,0.25,1.27
7729.0,7.729,0.7,3.74,0.53,0.17,0.37,0.36,1.4300000000000002
7828.0,7.828,-4.27,0.0,0.47,0.21,0.33,0.49,1.5
7926.0,7.926,0.7,3.74,0.6,0.12,0.48,0.46,1.66
8026.0,8.026,-3.65,0.0,0.63,0.28,0.47,0.66,2.04
8124.0,8.124,-0.08,0.0,0.53,0.29,0.75,0.97,2.54
8222.0,8.222,0.12,1.58,0.81,0.61,0.72,0.83,2.9699999999999998
8322.0,8.322,-2.18,0.0,0.8,0.83,0.8,0.73,3.1599999999999997
8420.0,8.42,0.18,1.92,0.84,0.96,0.76,0.68,3.2399999999999998
8519.0,8.519,-3.23,0.0,0.88,0.95,0.71,0.72,3.26
8619.0,8.619,1.28,5.07,0.89,0.97,0.74,0.68,3.28
8717.0,8.717,1.33,5.18,0.83,0.96,0.74,0.7,3.2300000000000004
8815.0,8.815,-4.27,0.0,0.79,0.9,0.8,0.73,3.22
8913.0,8.913,0.93,4.33,0.81,0.91,0.75,0.77,3.24
9015.0,9.015,-4.27,0.0,0.85,0.94,0.77,0.75,3.31
9113.0,9.113,-0.69,0.0,0.81,0.96,0.81,0.75,3.33
9211.0,9.211,0.53,3.27,0.83,0.93,0.74,0.67,3.17
9310.0,9.31,-4.27,0.0,0.85,0.98,0.75,0.68,3.2600000000000002
