ms,s,p,v,dv0,dv1,dv2,dv3,sum
602,0.602,-4.27,0.0,0.47,0.01,0.12,0.41,1.01
701,0.701,-1.52,0.0,0.51,0.0,0.1,0.36,0.97
800,0.8,1.48,5.46,0.49,0.0,0.14,0.3,0.9299999999999999
901,0.901,0.41,2.88,0.48,0.03,0.12,0.41,1.04
1001,1.001,1.54,5.57,0.55,0.0,0.13,0.38,1.06
1101,1.101,1.26,5.04,0.52,0.05,0.01,0.35,0.93
1202,1.202,-4.27,0.0,0.42,0.05,0.04,0.42,0.9299999999999999
1301,1.301,0.63,3.57,0.45,0.1,0.03,0.43,1.01
1401,1.401,0.92,4.29,0.5,0.01,0.02,0.33,0.8600000000000001
1502,1.502,0.02,0.58,0.54,0.03,0.06,0.37,1.0
1602,1.602,0.47,3.08,0.54,0.0,0.14,0.37,1.05
1702,1.702,-1.95,0.0,0.47,0.0,0.09,0.32,0.8799999999999999
1802,1.802,0.12,1.58,0.44,0.08,0.0,0.32,0.8400000000000001
1902,1.902,-4.27,0.0,0.48,0.07,0.0,0.42,0.97
2006,2.006,1.54,5.57,0.5,0.04,0.0,0.27,0.81
2106,2.106,-1.32,0.0,0.51,0.03,0.16,0.44,1.1400000000000001
2204,2.204,0.3,2.44,0.53,0.06,0.04,0.43,1.06
2304,2.304,2.33,6.84,0.55,0.0,0.02,0.21,0.78
2402,2.402,0.52,3.25,0.54,0.04,0.05,0.46,1.09
2500,2.5,2.73,7.41,0.52,0.02,0.11,0.34,0.99
2598,2.598,1.2,4.92,0.46,0.06,0.13,0.46,1.11
2697,2.697,0.92,4.29,0.5,0.03,0.21,0.44,1.18
2795,2.795,1.99,6.33,0.48,0.03,0.12,0.36,0.99
2893,2.893,-1.32,0.0,0.56,0.0,0.05,0.39,1.0
2992,2.992,0.18,1.92,0.48,0.0,0.13,0.34,0.95
3090,3.09,1.65,5.77,0.49,0.05,0.0,0.33,0.8700000000000001
3188,3.188,0.75,3.87,0.42,0.04,0.0,0.39,0.85
3287,3.287,0.81,4.03,0.49,0.02,0.13,0.33,0.97
3388,3.388,2.33,6.85,0.49,0.01,0.0,0.23,0.73
3486,3.486,-0.47,0.0,0.5,0.04,0.05,0.39,0.9800000000000001
3585,3.585,1.77,5.96,0.56,0.02,0.05,0.26,0.8900000000000001
3683,3.683,-4.05,0.0,0.54,0.0,0.18,0.38,1.1
3781,3.781,2.11,6.52,0.51,0.0,0.12,0.28,0.91
3880,3.88,2.17,6.6,0.5,0.0,0.15,0.38,1.03
3979,3.979,0.18,1.92,0.5,0.02,0.13,0.43,1.08
4077,4.077,2.11,6.52,0.51,0.0,0.11,0.32,0.94
4175,4.175,0.52,3.25,0.56,0.0,0.11,0.24,0.91
4274,4.274,-3.42,0.0,0.44,0.04,0.1,0.4,0.98
4372,4.372,1.65,5.77,0.45,0.09,0.0,0.37,0.91
4470,4.47,-4.27,0.0,0.44,0.06,0.05,0.41,0.96
4569,4.569,2.33,6.85,0.52,0.03,0.0,0.24,0.79
4667,4.667,0.02,0.58,0.53,0.02,0.02,0.28,0.8500000000000001
4765,4.765,0.3,2.44,0.54,0.03,0.05,0.37,0.9900000000000001
4867,4.867,1.26,5.04,0.55,0.01,0.05,0.22,0.8300000000000001
4965,4.965,-1.95,0.0,0.55,0.0,0.11,0.37,1.03
5063,5.063,0.86,4.16,0.55,0.0,0.08,0.29,0.9199999999999999
5163,5.163,1.15,4.8,0.54,0.0,0.1,0.4,1.04
5261,5.261,0.93,4.31,0.55,0.0,0.1,0.35,1.0
5359,5.359,2.56,7.18,0.49,0.0,0.12,0.32,0.9299999999999999
5457,5.457,2.22,6.68,0.53,0.0,0.13,0.34,1.0
5556,5.556,0.02,0.58,0.54,0.02,0.11,0.4,1.07
5654,5.654,1.43,5.36,0.5,0.0,0.14,0.31,0.95
5752,5.752,0.18,1.92,0.43,0.03,0.06,0.43,0.95
5852,5.852,1.09,4.67,0.42,0.05,0.0,0.31,0.78
5950,5.95,-0.27,0.0,0.5,0.01,0.05,0.36,0.92
